,Intangible Assets (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Loan ID,Company Name,RR1,RR distribution Max 8.333333333333334,RR distribution Max 25.0,RR distribution Max 41.66666666666667,RR distribution Max 58.333333333333336,RR distribution Max 75.0,RR distribution Max 91.66666666666667,RR2,RR2 distribution Mid 8.333333333333334,RR2 distribution Mid 25.0,RR2 distribution Mid 41.66666666666667,RR2 distribution Mid 58.333333333333336,RR2 distribution Mid 75.0,RR2 distribution Mid 91.66666666666667,RR3,RR3 distribution Mid 8.333333333333334,RR3 distribution Mid 25.0,RR3 distribution Mid 41.66666666666667,RR3 distribution Mid 58.333333333333336,RR3 distribution Mid 75.0,RR3 distribution Mid 91.66666666666667,RR4,RR4 distribution Mid 8.333333333333334,RR4 distribution Mid 25.0,RR4 distribution Mid 41.66666666666667,RR4 distribution Mid 58.333333333333336,RR4 distribution Mid 75.0,RR4 distribution Mid 91.66666666666667
0,0.0,1167564.0,127281.0,0.0,6,APEX NETWORKS LIMITED,91.66666666666666,11.348730981836178,7.1755866062210805,11.43900924684919,7.5160265052793305,30.160634713776275,32.36001194603794,91.66666666666666,12.306595298267986,10.42605038233062,13.768038339120242,11.327812258618833,23.599995411809687,28.57150830985263,91.66666666666666,16.818849717081843,12.036075976927277,14.236501388709154,9.21058320742751,21.773760467635512,25.9242292422187,8.333333333333332,24.10414963771972,11.061049191433314,17.725833085889956,10.10672254294573,17.523733174141622,19.47851236786966
1,0.0,5965668.0,-4320978.0,-32479.0,11,REDINGTON LIMITED,8.333333333333332,58.7870664163319,13.776428104169147,5.2762364717237125,9.135810020913745,7.2606382234929985,5.763820763368492,8.333333333333332,42.56619076918952,29.95407083551383,9.526087690508888,12.386318843523188,3.150190173661395,2.417141687603177,8.333333333333332,36.55440416906287,28.598548974515626,11.984338805694943,9.922109770791923,5.829339516902618,7.1112587630320245,25.0,24.074755748644233,26.827239984229877,23.349314401366126,14.378421825444851,3.7456070647479085,7.624660975567006
2,0.0,3881000.0,2210000.0,79000.0,13,HATHERTON HOLDINGS LIMITED,91.66666666666666,8.92648561318401,6.133194215577839,10.782780638875918,9.439211248561033,28.01438873718413,36.70393954661707,91.66666666666666,6.116403359581716,8.0135135537079,13.640633946488487,12.575606060413797,27.860966910659858,31.792876169148233,91.66666666666666,11.732834719102533,10.521841959706949,13.659300551221293,13.91330787913362,22.55817465510052,27.614540235735085,91.66666666666666,10.357451982051447,10.159469790311451,14.39039822442863,17.667640637383723,22.25360918793132,25.171430177893438
3,0.0,10576611.0,3314862.0,25811.0,14,MEIKA LTD,91.66666666666666,11.146992005685512,7.01455937450675,10.623377269362408,8.89089050619031,29.546891832084064,32.777289012170954,91.66666666666666,12.399838822952388,10.50618479974402,13.931203998828263,8.630688012443175,23.830838852762014,30.70124551327015,91.66666666666666,13.49351198985566,12.239629506446018,14.637868821277845,9.586646651530154,22.74981431083784,27.292528720052477,91.66666666666666,18.74957310114885,9.598834942068981,15.184232870390959,16.438557166110936,18.154097554235598,21.874704366044675
4,0.0,2879554.0,-2389022.0,-136265.0,15,CONCEPTA CAPITAL LIMITED,8.333333333333332,58.7870664163319,13.776428104169147,5.2762364717237125,9.135810020913745,7.2606382234929985,5.763820763368492,8.333333333333332,42.56619076918952,29.95407083551383,9.526087690508888,12.386318843523188,3.150190173661395,2.417141687603177,8.333333333333332,36.55440416906287,28.598548974515626,11.984338805694943,9.922109770791923,5.829339516902618,7.1112587630320245,25.0,24.074755748644233,26.827239984229877,23.349314401366126,14.378421825444851,3.7456070647479085,7.624660975567006
5,0.0,2068000.0,1160000.0,45000.0,16,DICKINSONS (PLUMBING & HEATING CONTRACTORS) LIMITED,91.66666666666666,8.92648561318401,6.133194215577839,10.782780638875918,9.439211248561033,28.01438873718413,36.70393954661707,91.66666666666666,6.1050814067464945,7.996348012312563,13.619442857774777,12.557129262384093,27.811301277556016,31.91069718322605,91.66666666666666,11.656909946991636,10.470592738532089,13.579084378947604,13.813579664955519,22.997549089482852,27.482284181090293,91.66666666666666,10.35500458777171,10.152795078639446,14.377124221555487,17.653221880386834,22.233528004097593,25.22832622754894
6,0.0,9406526.0,5669665.0,280825.0,18,AFTAB CURRENCY EXCHANGE LIMITED,91.66666666666666,8.826318982198114,6.019115552510566,10.517823744009998,9.182534256659672,29.493746101443012,35.960461363178645,91.66666666666666,5.302279951369121,7.995262885433063,13.649287267167514,12.562139809618003,27.857707977306422,32.63332210910587,91.66666666666666,11.4028940330221,10.129679816820147,13.259212487282262,13.424546283200375,25.305017941241193,26.47864943843391,91.66666666666666,8.352666996129434,9.476613709541052,12.806360520600407,16.576120756508246,25.31284372989574,27.475394287325123
7,0.0,14954000.0,3783000.0,14476000.0,22,CMME GROUP LIMITED,41.66666666666667,4.627935726494027,10.859279619476359,38.33706864377903,37.71380527740417,5.460368322816898,3.001542410029522,41.66666666666667,7.736428356502764,18.733600693554514,33.57704878064048,33.4615593374962,4.006091654564329,2.485271177241726,58.33333333333333,11.398301550540147,13.88902207697913,28.198044810910172,33.4410682553862,8.466412921721199,4.607150384463159,41.66666666666667,17.481652525008744,20.673894359968838,32.48774570357435,19.397945555879666,5.521097626438505,4.4376642291299015
8,0.0,3683023.0,2423140.0,725000.0,24,SWEEEP KUUSAKOSKI LIMITED,75.0,4.393672054562427,6.534288332381788,9.468419633734143,15.620785663690487,32.98591891242874,30.996915403202408,75.0,3.6281227818209296,7.736530513076858,10.840054670336704,18.507575287658895,31.423005336377425,27.864711410729182,75.0,3.800493759294876,6.9895228625200545,11.589730885374836,19.29373655618126,31.98435089021286,26.342165046416117,75.0,4.466089310346434,8.718099063899567,11.341641281633892,18.31848726490803,33.74776225489995,23.40792082431213
9,0.0,6882915.0,1639951.0,161000.0,31,DUNSTAN THOMAS GROUP LIMITED,91.66666666666666,11.348730981836178,7.1755866062210805,11.43900924684919,7.5160265052793305,30.160634713776275,32.36001194603794,91.66666666666666,11.707254913228287,10.311417018932836,14.05389412753483,6.1528410203337085,25.662254287019547,32.112338632950795,91.66666666666666,13.435386481714215,11.590236757385444,14.581182611433233,9.560074990665493,23.611448201054905,27.221670957746714,91.66666666666666,16.07731909058195,10.01932797227637,14.81099149825711,13.18081980816393,21.641610711560453,24.269930919160192
