,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
130,1045081,184389,605083,377417,54805,2881611,-261859,292,IEP FINANCIAL LIMITED,0.503189036,0.429541271,0.554047304,0.417258404,0.503189036,0.930568903,1.479460415,1.890545646
131,461987,38229,274252,235522,0,1445873,-107966,294,ONYX BUSINESS SYSTEMS LIMITED,0.607250117,1.077743001,1.23859604,0.864307001,0.607250117,1.678448522,2.896255365,3.735529828
132,1665000,,1371000,678000,329000,10745000,693000,296,LITERACY CAPITAL PLC,1.189117008,0.529167368,1.057244522,0.766952035,1.189117008,1.711991957,2.751136538,3.496988675
133,3077000,,15408000,2203000,6780000,8736000,6425000,297,CARGOSTORE WORLDWIDE TRADING LIMITED,1.637780755,0.895383384,1.567293417,1.176565534,1.637780755,2.518499722,4.046320858,5.175278775
134,2097000,7638000,16408000,5769000,2832000,25492000,4481000,301,TOTAL INTEGRATED SOLUTIONS LIMITED,0.184960999,0.224274372,0.27125306,0.214947204,0.184960999,0.40882055,0.678964672,0.89245246
135,406180,718254,3043112,1067188,62609,5235240,544572,302,ECOVIS WINGRAVE YEATS UK LIMITED,0.195882843,0.236588211,0.271908213,0.219602165,0.195882843,0.432007618,0.702741167,0.920800097
136,331000,1116000,1285000,149000,20000,1388000,737000,303,PACEPRINT UK LTD,0.196631217,0.231766158,0.279311707,0.234714153,0.196631217,0.427941651,0.706058067,0.939115002
137,-944,-616869,286447,241811,0,907940,3186,305,FAN19 LIMITED,8.492711311,2.136217472,1.835130733,2.743925917,8.492711311,10.447506,12.09091134,14.50307161
138,226000,1015000,1219000,141000,0,3100000,461000,306,TIDEWAY WEALTH MANAGEMENT LTD,0.192539759,0.225924745,0.265769454,0.205323227,0.192539759,0.41802951,0.682687969,0.886609478
139,1564000,589830,7384267,4843823,662928,17910000,-1730169,312,ABL ACCIDENT REPAIR GROUP LIMITED,1.752310851,1.94985998,1.977508452,0.848609196,1.752310851,3.668003223,5.572976601,6.374293006
140,828408,3616497,4126787,498290,11900,3514203,3552852,313,TOUCHLINE FABRICATIONS LIMITED,0.196285801,0.28500354,0.284464826,0.223904171,0.196285801,0.48072992,0.763827238,0.986021168
141,445355,613000,791000,178000,0,878277,45000,316,INTEGRAL SCAFFOLDING LIMITED,0.221010795,0.312078028,0.402251835,0.322868264,0.221010795,0.532399096,0.932509346,1.252366834
142,1161431,4724227,10267376,5434211,108938,13163909,4459648,317,COLIN MEAR ENGINEERING LIMITED,0.188295764,0.225195002,0.298589414,0.215477423,0.188295764,0.413066733,0.710422774,0.924369396
143,602528,392268,667176,266851,-85099,1319982,173695,318,HOWARD WRIGHT LTD,0.19176554,0.243803714,0.358433316,0.28189305,0.19176554,0.435101723,0.79197549,1.071636016
144,,3522853,4164277,615656,0,4300591,495924,320,C AND G COMMERCIAL SERVICES LIMITED,0.340197592,0.361378987,0.268927408,0.23492177,0.340197592,0.700347176,0.967391159,1.200040316
145,1675056,,5019568,3131937,866783,9223925,,321,SHIELD SAFETY GROUP LIMITED,6.262233461,6.458791795,5.309522896,3.165581612,6.262233461,12.31656063,16.97213292,19.60044782
146,693384,742614,1220459,477200,645,2002841,,324,ETHICAL NETWORKING LTD,0.233487674,0.297399969,0.391896532,0.306570136,0.233487674,0.530193251,0.920011973,1.223761627
