,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
86,874,884,901,12,0,1482,688,186,LEBC HOLDINGS LIMITED,0.199316682,0.377373837,0.609464212,0.322723573,0.199316682,0.575938349,1.181892423,1.500801751
87,1573504,0,730150,136863,0,4924310,500000,189,COINFIRM LIMITED,0.445079532,0.359083412,0.597753988,0.600447093,0.445079532,0.802564737,1.395521362,1.987589088
88,299869,886811,475268,172814,124650,1514394,247012,190,LH HOLDINGS 2019 LIMITED,0.204099033,0.244111262,0.380554144,0.320448272,0.204099033,0.447712066,0.826562424,1.144361991
89,450000,1423000,4726000,3297000,0,7754000,1578000,191,NEO G LIMITED,0.27500872,0.282807768,0.415586242,0.292094378,0.27500872,0.557038742,0.970310008,1.259570165
90,767,469,2405,632,1303,3235,178,193,LEAN EDUCATION AND DEVELOPMENT LIMITED,0.49494101,0.804831217,0.547036824,0.978890468,0.49494101,1.295788787,1.835737169,2.796657781
91,396000,-2793000,3205000,2426000,2215000,8871000,-978000,195,DIRTY TRADING LIMITED,19.06597132,14.87666419,3.506813749,3.701280187,19.06597132,31.10625498,33.52223031,35.98275882
92,2329,2519,5660,3141,0,16463,1669,197,INDOOR CLIMATE SYSTEMS (UK) LIMITED,0.191877125,0.240750508,0.374156913,0.217514899,0.191877125,0.432165688,0.804705623,1.020470167
93,231000,71000,2861000,1773000,240000,5469000,695000,198,WJL CONTRACTS LIMITED,1.800026195,1.018682966,2.231323878,0.722827102,1.800026195,2.8003726,4.969211096,5.656119394
94,1328,769118,7355828,6046110,362500,26381,2263820,199,IT FLEET AUTOMOTIVE LIMITED,3.025769201,2.678846825,3.132175526,2.27641179,3.025769201,5.623560304,8.57959605,10.6607009
95,553000,,1203000,200000,0,2062000,,204,SYLVAN ENTERPRISES OF SHERWOOD FOREST LIMITED,1.132592675,1.544712813,1.272410026,1.289876659,1.132592675,2.659810183,3.898376517,5.137968928
96,1720000,1909263,2970180,1069768,-8852,10641000,497504,206,AUTOMATED MATERIALS HANDLING LIFE SERVICES LIMITED,0.187783417,0.244292475,0.360588696,0.298049802,0.187783417,0.431617152,0.790649485,1.086342758
97,-80000,-4500000,9851000,1966000,485000,5741000,-1134000,207,ONE REBEL LTD,2.538175299,3.603892427,1.733479312,1.997032143,2.538175299,6.050594618,7.679188124,9.522864412
