,Intangible Assets (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Loan ID,Company Name,RR1,RR1 distribution Max 8.333333333333334,RR1 distribution Max 25.0,RR1 distribution Max 41.66666666666667,RR1 distribution Max 58.333333333333336,RR1 distribution Max 75.0,RR1 distribution Max 91.66666666666667,RR2,RR2 distribution Mid 8.333333333333334,RR2 distribution Mid 25.0,RR2 distribution Mid 41.66666666666667,RR2 distribution Mid 58.333333333333336,RR2 distribution Mid 75.0,RR2 distribution Mid 91.66666666666667,RR3,RR3 distribution Mid 8.333333333333334,RR3 distribution Mid 25.0,RR3 distribution Mid 41.66666666666667,RR3 distribution Mid 58.333333333333336,RR3 distribution Mid 75.0,RR3 distribution Mid 91.66666666666667,RR4,RR4 distribution Mid 8.333333333333334,RR4 distribution Mid 25.0,RR4 distribution Mid 41.66666666666667,RR4 distribution Mid 58.333333333333336,RR4 distribution Mid 75.0,RR4 distribution Mid 91.66666666666667
0,0.0,1167564.0,127281.0,0.0,6,APEX NETWORKS LIMITED,91.66666666666666,11.889455497349655,6.896439586898021,12.566875234122335,8.15070624851392,28.94680107014157,31.549722362974496,91.66666666666666,12.192116014197955,9.929333576021449,12.49991707445411,8.82366289506902,23.208727763280717,33.34624267697675,91.66666666666666,14.535789353410328,14.037514733306706,13.932382615042252,11.701621790560564,20.104451861900603,25.688239645779543,91.66666666666666,19.678345278729704,11.53905518904335,15.80609653763408,10.719820112866769,17.944594155880825,24.31208872584528
1,0.0,5965668.0,-4320978.0,-32479.0,11,REDINGTON LIMITED,8.333333333333332,48.560922967536925,15.254834274900814,9.839101742240523,13.961983625424956,6.4830848452230985,5.90007254467368,8.333333333333332,47.113381086674075,26.327080831954454,4.149487094399421,14.850136886645757,3.458535557565405,4.101378542760889,8.333333333333332,43.548891378945065,26.94084934037152,4.780190133522237,10.62458865146623,3.347792007113849,10.757688488581095,25.0,24.430464627637235,30.084343136932983,24.055072820167272,11.93595807879178,3.8893756778803774,5.604785658590357
2,0.0,3881000.0,2210000.0,79000.0,13,HATHERTON HOLDINGS LIMITED,91.66666666666666,6.964227951151661,5.958425773718743,9.295814425198838,10.800840772965515,28.91944711226384,38.061243964701404,91.66666666666666,7.1395160159397815,7.750820445949504,13.160591897988857,12.20134691896513,25.945911898202596,33.80181282295413,91.66666666666666,9.288598492376378,12.273167997362995,12.491611967537878,12.543465763340217,24.72996687505315,28.673188904329383,91.66666666666666,9.301057394260797,12.489551180746556,13.248813951861074,13.751903290845297,25.020782706651286,26.187891475634995
3,0.0,10576611.0,3314862.0,25811.0,14,MEIKA LTD,91.66666666666666,11.899736898625228,6.8308596582812,12.050935358329054,10.040436236925595,27.816715061463267,31.36131678637566,91.66666666666666,11.821897879892266,9.64506361234084,11.98553588198229,8.39530394853966,23.34046115073596,34.811737526508985,91.66666666666666,13.661443976849114,13.354094375233746,13.278177764368525,12.132001476895873,21.145627079046815,26.428655327605927,91.66666666666666,14.034436223916291,11.80088594173788,14.603492896568449,14.31576712999886,20.40802660844409,24.837391199334434
4,0.0,2879554.0,-2389022.0,-136265.0,15,CONCEPTA CAPITAL LIMITED,8.333333333333332,48.560922967536925,15.254834274900814,9.839101742240523,13.961983625424956,6.4830848452230985,5.90007254467368,8.333333333333332,47.113381086674075,26.327080831954454,4.149487094399421,14.850136886645757,3.458535557565405,4.101378542760889,8.333333333333332,43.548891378945065,26.94084934037152,4.780190133522237,10.62458865146623,3.347792007113849,10.757688488581095,25.0,24.430464627637235,30.084343136932983,24.055072820167272,11.93595807879178,3.8893756778803774,5.604785658590357
5,0.0,2068000.0,1160000.0,45000.0,16,DICKINSONS (PLUMBING & HEATING CONTRACTORS) LIMITED,91.66666666666666,6.964227951151661,5.958425773718743,9.295814425198838,10.800840772965515,28.91944711226384,38.061243964701404,91.66666666666666,7.1395160159397815,7.750820445949504,13.160591897988857,12.20134691896513,25.945911898202596,33.80181282295413,91.66666666666666,8.989216723628711,11.745013367591168,12.768627610355548,11.95068986121984,26.308121468834806,28.238330968369933,91.66666666666666,9.308380796556056,12.502265420842493,13.164385192853285,13.764617530941234,25.05092016465647,26.209430894150465
6,0.0,9406526.0,5669665.0,280825.0,18,AFTAB CURRENCY EXCHANGE LIMITED,91.66666666666666,6.644128743327503,5.987348065327995,9.326550487637823,10.815827778617582,29.018361349567485,38.20778357552162,91.66666666666666,6.224116810907762,7.828498424548172,13.30834188644841,12.325767961878437,26.172131976226797,34.141142939990424,91.66666666666666,8.878339723930807,11.760012416940189,12.782212814888885,11.964661578421666,26.341671973957613,28.273101491860842,75.0,8.645528131631487,9.788949111686389,10.968691931129895,12.113785673096372,30.3543451217746,28.12870003068126
7,0.0,14954000.0,3783000.0,14476000.0,22,CMME GROUP LIMITED,58.33333333333333,3.826909403723733,9.073353705233163,36.43690781820684,42.83356392873226,4.5047830643882,3.324482079715798,58.33333333333333,7.243834820351883,19.58044137900614,31.96688923124375,31.985970004996204,5.453718944787815,3.7691456196142044,41.66666666666667,9.576270370104831,18.034419025363523,31.51020490842635,29.52426059877184,7.724588162852326,3.630256934481139,41.66666666666667,19.119006537178134,23.372933044490587,33.06409750189794,16.98086220669065,3.31458043385522,4.148520275887475
8,0.0,3683023.0,2423140.0,725000.0,24,SWEEEP KUUSAKOSKI LIMITED,91.66666666666666,3.164265771885803,5.13045806456903,10.44561589786655,16.59879395732712,32.13433304423905,32.52653326411245,75.0,3.6862649131638046,8.008952542901792,12.067578012194543,16.22774265986105,30.113993276071877,29.89546859580693,75.0,5.1015177509828336,10.013152530996553,12.344012502534381,19.71696785428478,28.009638554429593,24.81471080677186,75.0,4.767400272685603,9.507371091788341,10.69697948741583,19.615193661040124,31.701973125569012,23.711082361501088
9,0.0,6882915.0,1639951.0,161000.0,31,DUNSTAN THOMAS GROUP LIMITED,91.66666666666666,11.90727844322387,6.291453551489133,12.579153263502349,8.160751908915746,28.982161794756,32.07920103811289,91.66666666666666,11.3675069319407,9.280885143915144,13.071785142892884,7.859988772560617,22.505693608718687,35.91414039997197,91.66666666666666,10.175780248284171,13.64980871890967,13.699957300014958,11.328013969168909,23.560104599418242,27.586335164204044,91.66666666666666,13.992446959440924,11.73677762225704,14.345218059781374,12.737642392610788,22.43741972844614,24.75049523746374
